type,k_2/k,nr_seeds,overlap
k-mers,30,1,29.0
altstrobes,1,1,12.6705
altstrobes,2,1,13.2865
altstrobes,3,1,13.5841
altstrobes,4,1,14.4531
altstrobes,5,1,14.9947
altstrobes,6,1,15.7239
altstrobes,7,1,16.2884
altstrobes,8,1,17.0707
altstrobes,9,1,17.8461
altstrobes,10,1,18.4425
altstrobes,11,1,19.2526
altstrobes,12,1,19.8368
altstrobes,13,1,20.3058
altstrobes,14,1,21.0118
randstrobes,15,1,21.2658
k-mers,30,2,57.0
altstrobes,1,2,25.0372
altstrobes,2,2,25.9233
altstrobes,3,2,26.4885
altstrobes,4,2,28.0673
altstrobes,5,2,29.7202
altstrobes,6,2,30.6349
altstrobes,7,2,32.1054
altstrobes,8,2,33.404
altstrobes,9,2,34.5766
altstrobes,10,2,36.0787
altstrobes,11,2,37.5296
altstrobes,12,2,38.8051
altstrobes,13,2,39.817
altstrobes,14,2,41.0702
randstrobes,15,2,41.2569
k-mers,30,3,84.0
altstrobes,1,3,37.0813
altstrobes,2,3,37.9075
altstrobes,3,3,38.7772
altstrobes,4,3,40.8251
altstrobes,5,3,42.891
altstrobes,6,3,44.8102
altstrobes,7,3,47.0407
altstrobes,8,3,49.0821
altstrobes,9,3,50.793
altstrobes,10,3,52.9235
altstrobes,11,3,55.0949
altstrobes,12,3,56.8108
altstrobes,13,3,58.5541
altstrobes,14,3,60.0611
randstrobes,15,3,60.1822
k-mers,30,4,110.0
altstrobes,1,4,48.7789
altstrobes,2,4,49.7725
altstrobes,3,4,50.6013
altstrobes,4,4,52.5658
altstrobes,5,4,55.2453
altstrobes,6,4,58.1945
altstrobes,7,4,60.8912
altstrobes,8,4,63.3828
altstrobes,9,4,66.3853
altstrobes,10,4,69.1692
altstrobes,11,4,71.5365
altstrobes,12,4,73.9615
altstrobes,13,4,76.3714
altstrobes,14,4,77.711
randstrobes,15,4,78.1633
k-mers,30,5,135.0
altstrobes,1,5,60.2445
altstrobes,2,5,60.4854
altstrobes,3,5,62.1401
altstrobes,4,5,64.1184
altstrobes,5,5,67.1569
altstrobes,6,5,71.1616
altstrobes,7,5,73.8963
altstrobes,8,5,77.6767
altstrobes,9,5,80.6474
altstrobes,10,5,84.1628
altstrobes,11,5,87.1299
altstrobes,12,5,90.3371
altstrobes,13,5,92.9133
altstrobes,14,5,94.6432
randstrobes,15,5,94.5492
k-mers,30,25,425.0
altstrobes,1,25,202.184
altstrobes,2,25,207.3916
altstrobes,3,25,209.0268
altstrobes,4,25,205.8737
altstrobes,5,25,207.1358
altstrobes,6,25,208.3604
altstrobes,7,25,209.0623
altstrobes,8,25,209.4094
altstrobes,9,25,209.5757
altstrobes,10,25,209.9535
altstrobes,11,25,211.8129
altstrobes,12,25,211.6648
altstrobes,13,25,211.0533
altstrobes,14,25,211.3171
randstrobes,15,25,211.0804
