w_min,w_max,seeding,N_m,stddev_est,m
25,50,k-mers,1.0,0.0,1
25,50,k-mers,1.0,0.0,2
25,50,k-mers,0.9918,0.09018181634898283,3
25,50,k-mers,0.9631,0.18851628576863677,4
25,50,k-mers,0.9133,0.28139493598855975,5
25,50,k-mers,0.8315,0.37430969797751623,6
25,50,k-mers,0.7437,0.43658940665114043,7
25,50,k-mers,0.645,0.4785133226985557,8
25,50,k-mers,0.5535,0.49712951028876845,9
25,50,k-mers,0.4668,0.4988965423813092,10
25,50,k-mers,0.3868,0.48701720708818463,11
25,50,k-mers,0.3213,0.4669757060062046,12
25,50,k-mers,0.2564,0.4366452106688124,13
25,50,k-mers,0.208,0.4058768286068777,14
25,50,k-mers,0.1618,0.36826723992229915,15
25,50,k-mers,0.1277,0.3337554643747233,16
25,50,k-mers,0.1006,0.3007983377613368,17
25,50,k-mers,0.0767,0.2661148436295742,18
25,50,k-mers,0.059,0.23562470159133725,19
25,50,k-mers,0.044,0.2050950998927091,20
25,50,k-mers,0.0392,0.1940705026530255,21
25,50,k-mers,0.0277,0.1641118825679576,22
25,50,k-mers,0.0191,0.1368765502195333,23
25,50,k-mers,0.0173,0.1303867708013257,24
25,50,k-mers,0.0118,0.10798499895818135,25
25,50,minstrobes,1.0,0.0,1
25,50,minstrobes,0.9978,0.04685253461660412,2
25,50,minstrobes,0.9865,0.11540255629750149,3
25,50,minstrobes,0.9533,0.21099552127946525,4
25,50,minstrobes,0.8963,0.3048709727081289,5
25,50,minstrobes,0.8142,0.3889451889405663,6
25,50,minstrobes,0.7165,0.4506969602737334,7
25,50,minstrobes,0.6113,0.48745493125007566,8
25,50,minstrobes,0.5229,0.4994753147053496,9
25,50,minstrobes,0.4329,0.4954771336802418,10
25,50,minstrobes,0.3442,0.47510668275665674,11
25,50,minstrobes,0.2745,0.4462619746292206,12
25,50,minstrobes,0.2234,0.41652423698988206,13
25,50,minstrobes,0.1762,0.3809902360953307,14
25,50,minstrobes,0.1406,0.34760845789476297,15
25,50,minstrobes,0.1087,0.3112624455343436,16
25,50,minstrobes,0.0833,0.2763351407259066,17
25,50,minstrobes,0.0605,0.23841088481862985,18
25,50,minstrobes,0.0457,0.20883368981082573,19
25,50,minstrobes,0.0396,0.19501753767288396,20
25,50,minstrobes,0.0263,0.1600259666429081,21
25,50,minstrobes,0.0202,0.14068390099794156,22
25,50,minstrobes,0.015,0.12155245781143352,23
25,50,minstrobes,0.0122,0.10977777552855475,24
25,50,minstrobes,0.0079,0.08853016435091125,25
25,50,hybridstrobes,1.0,0.0,1
25,50,hybridstrobes,1.0,0.0,2
25,50,hybridstrobes,0.9998,0.014140721339450353,3
25,50,hybridstrobes,0.9967,0.05735076285455435,4
25,50,hybridstrobes,0.9867,0.11455614344068409,5
25,50,hybridstrobes,0.9634,0.1877776344509701,6
25,50,hybridstrobes,0.9189,0.2729886261367083,7
25,50,hybridstrobes,0.8577,0.3493575675436516,8
25,50,hybridstrobes,0.7867,0.40963777901949905,9
25,50,hybridstrobes,0.7031,0.4568920988592521,10
25,50,hybridstrobes,0.597,0.4905007645254065,11
25,50,hybridstrobes,0.5056,0.4999686390164635,12
25,50,hybridstrobes,0.4283,0.4948324059719464,13
25,50,hybridstrobes,0.3463,0.47579019535925454,14
25,50,hybridstrobes,0.2874,0.4525497099767502,15
25,50,hybridstrobes,0.2222,0.41572486093568173,16
25,50,hybridstrobes,0.1763,0.38107520255193367,17
25,50,hybridstrobes,0.1372,0.34405836714139404,18
25,50,hybridstrobes,0.1024,0.3031736136275985,19
25,50,hybridstrobes,0.0801,0.27144795081192086,20
25,50,hybridstrobes,0.0591,0.23581176815419633,21
25,50,hybridstrobes,0.0488,0.2154496692965835,22
25,50,hybridstrobes,0.0367,0.18802422716234019,23
25,50,hybridstrobes,0.0242,0.1536696456688754,24
25,50,hybridstrobes,0.0192,0.13722740251131652,25
25,50,randstrobes,1.0,0.0,1
25,50,randstrobes,1.0,0.0,2
25,50,randstrobes,0.9998,0.014140721339450288,3
25,50,randstrobes,0.9971,0.05377350648785797,4
25,50,randstrobes,0.9883,0.10753190224299422,5
25,50,randstrobes,0.9694,0.17223135603019923,6
25,50,randstrobes,0.9265,0.2609554559689971,7
25,50,randstrobes,0.8713,0.3348676007021383,8
25,50,randstrobes,0.8034,0.39742727636639374,9
25,50,randstrobes,0.7206,0.44870440158309244,10
25,50,randstrobes,0.6189,0.48565707036962497,11
25,50,randstrobes,0.5299,0.49910518931383135,12
25,50,randstrobes,0.4528,0.4977671744902433,13
25,50,randstrobes,0.3623,0.4806648624562207,14
25,50,randstrobes,0.3088,0.4619984415558372,15
25,50,randstrobes,0.2437,0.4293137663760557,16
25,50,randstrobes,0.1954,0.3965083101273008,17
25,50,randstrobes,0.1492,0.35628550349405597,18
25,50,randstrobes,0.1155,0.31962438893179085,19
25,50,randstrobes,0.0873,0.28227417522682635,20
25,50,randstrobes,0.0621,0.2413370879082038,21
25,50,randstrobes,0.0535,0.225028331549627,22
25,50,randstrobes,0.0409,0.19805855194866503,23
25,50,randstrobes,0.0273,0.16295615974855931,24
25,50,randstrobes,0.0205,0.14170303454759436,25
25,50,altstrobes,1.0,0.0,1
25,50,altstrobes,1.0,0.0,2
25,50,altstrobes,1.0,0.0,3
25,50,altstrobes,0.9998,0.014140721339450157,4
25,50,altstrobes,0.9955,0.06693093455196417,5
25,50,altstrobes,0.9831,0.12889681920047594,6
25,50,altstrobes,0.9553,0.20664440471493575,7
25,50,altstrobes,0.9047,0.29362886438494623,8
25,50,altstrobes,0.8376,0.3688173531709152,9
25,50,altstrobes,0.758,0.4282942913464856,10
25,50,altstrobes,0.6618,0.4730969879422227,11
25,50,altstrobes,0.5711,0.49491897316632,12
25,50,altstrobes,0.4803,0.49961175926914503,13
25,50,altstrobes,0.3985,0.4895893687571232,14
25,50,altstrobes,0.3252,0.4684495276975251,15
25,50,altstrobes,0.2623,0.4398848826681992,16
25,50,altstrobes,0.2072,0.4053000863557762,17
25,50,altstrobes,0.1603,0.3668840552545474,18
25,50,altstrobes,0.126,0.3318493634166143,19
25,50,altstrobes,0.0935,0.291131842985252,20
25,50,altstrobes,0.077,0.2665914477247998,21
25,50,altstrobes,0.0566,0.23107669722408153,22
25,50,altstrobes,0.0407,0.19759430659814592,23
25,50,altstrobes,0.0344,0.18225432779499381,24
25,50,altstrobes,0.0252,0.15673212816776616,25
25,50,mixedstrobes,1.0,0.0,1
25,50,mixedstrobes,1.0,0.0,2
25,50,mixedstrobes,1.0,0.0,3
25,50,mixedstrobes,0.9989,0.0331480014480514,4
25,50,mixedstrobes,0.9953,0.06839524837297707,5
25,50,mixedstrobes,0.9784,0.14537345012073039,6
25,50,mixedstrobes,0.9452,0.2275894549402653,7
25,50,mixedstrobes,0.8942,0.3075814688826227,8
25,50,mixedstrobes,0.8273,0.37798771144044613,9
25,50,mixedstrobes,0.7491,0.43353107155084614,10
25,50,mixedstrobes,0.6529,0.47604788624675537,11
25,50,mixedstrobes,0.5637,0.49592571016228576,12
25,50,mixedstrobes,0.4814,0.49965392022879385,13
25,50,mixedstrobes,0.387,0.48706365087126313,14
25,50,mixedstrobes,0.3289,0.4698135694080729,15
25,50,mixedstrobes,0.2589,0.4380305811242355,16
25,50,mixedstrobes,0.205,0.40370162248868047,17
25,50,mixedstrobes,0.1617,0.3681753794049768,18
25,50,mixedstrobes,0.1229,0.32832238729642094,19
25,50,mixedstrobes,0.0935,0.2911318429852527,20
25,50,mixedstrobes,0.0706,0.25615549964814377,21
25,50,mixedstrobes,0.0594,0.23637182573227164,22
25,50,mixedstrobes,0.0439,0.20487261896116266,23
25,50,mixedstrobes,0.03,0.1705872210923236,24
25,50,mixedstrobes,0.0232,0.15053823434595556,25
25,50,multistrobes,1.0,0.0,1
25,50,multistrobes,1.0,0.0,2
25,50,multistrobes,1.0,0.0,3
25,50,multistrobes,0.9997,0.01731790980459143,4
25,50,multistrobes,0.9972,0.05284089325512263,5
25,50,multistrobes,0.9838,0.12624404936471353,6
25,50,multistrobes,0.9568,0.2033070584116745,7
25,50,multistrobes,0.9083,0.2886019923701475,8
25,50,multistrobes,0.8481,0.35892393344549917,9
25,50,multistrobes,0.7621,0.42579759275978357,10
25,50,multistrobes,0.668,0.47093099282167683,11
25,50,multistrobes,0.5748,0.4943733002499051,12
25,50,multistrobes,0.4911,0.4999207837247681,13
25,50,multistrobes,0.4019,0.4902819494943567,14
25,50,multistrobes,0.328,0.4694848240358807,15
25,50,multistrobes,0.2706,0.44426978290225044,16
25,50,multistrobes,0.2181,0.4129556755875641,17
25,50,multistrobes,0.1675,0.37342167853511465,18
25,50,multistrobes,0.1279,0.333978427447029,19
25,50,multistrobes,0.0989,0.2985277039070553,20
25,50,multistrobes,0.08,0.2712931993249996,21
25,50,multistrobes,0.0582,0.2341212506373555,22
25,50,multistrobes,0.0397,0.19525345067373293,23
25,50,multistrobes,0.0345,0.182509588789186,24
25,50,multistrobes,0.0238,0.15242558840299797,25
